name	remove	add	mass_change	possible	phase
hydroxylation		O	15.99491	TRUE	1
deoxydation	O		-15.99491	TRUE	1
carbonyl_reduct	C O		-27.99491	TRUE	1
amide_carbo	N H2	O H	-0.98402	FALSE	1
defluorination	H F		-20.00623	FALSE	1
dechlorination	H Cl		-35.97668	FALSE	1
debromination	H Br		-79.92616	FALSE	1
N-dephenylation	C6 H4		-77.03913	TRUE	1
demethylation	C H2		-14.01565	TRUE	1
methylation		C H2	14.01565	TRUE	1
acetylation		C2 O H2	42.01056	TRUE	1
reduction		H2	2.01565	TRUE	1
reduction_O		H2 O	18.01056	TRUE	1
dehydratation	H2 O		-18.01056	TRUE	1
decarboxylation	C O2		-43.98983	TRUE	1
insaturation	H2		-2.01565	TRUE	1
glucuronylation		C6 H8 O6	172.0008	FALSE	2
sulfatation		S O3	96.95955	FALSE	2
